annee,type_produit,nom_produit,quantite,prix,vecteur_id,country,annee_str,client,prix_total
2024,RATAFIA,Ratafia Soléra (SSA) 700 mL,1,0.0,26,non renseigné,2024,26,0.0
2025,RATAFIA,Ratafia Soléra (SSA) 700 mL,0,0.0,26,non renseigné,2025,26,0.0
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Blanc (SSA) (Bio) ""Méthode Nature"" 750 mL CRD",1,44.0,26,non renseigné,2024,26,44.0
2025,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Blanc (SSA) (Bio) ""Méthode Nature"" 750 mL CRD",0,0.0,26,non renseigné,2025,26,0.0
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",1,44.0,26,non renseigné,2024,26,44.0
2025,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Rouge (SSA) (Conv.Bio) ""Méthode Nature"" 750 mL CRD",0,0.0,26,non renseigné,2025,26,0.0
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,12,241.2,27,non renseigné,2024,27,241.2
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,30,616.44,27,non renseigné,2025,27,616.44
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,4,84.0,28,non renseigné,2024,28,84.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,4,89.9,28,non renseigné,2025,28,89.9
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 3000 mL CRD,0,0.0,28,non renseigné,2024,28,0.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 3000 mL CRD,4,169.95,28,non renseigné,2025,28,169.95
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,18,323.1,28,non renseigné,2024,28,323.1
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 750 mL CRD,15,284.25,28,non renseigné,2025,28,284.25
2024,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,0,0.0,28,non renseigné,2024,28,0.0
2025,CHAMPAGNE,Blanc de Chardonnay (SSA) (Bio) Brut Nature 750 mL CRD,3,80.85,28,non renseigné,2025,28,80.85
2024,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",0,0.0,28,non renseigné,2024,28,0.0
2025,CHAMPAGNE,"Eurêka ! ""Méthode Nature""(SSA)  Brut Nature 750 ml / CRD",3,164.85,28,non renseigné,2025,28,164.85
2024,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Blanc (SSA) (Bio) ""Méthode Nature"" 750 mL CRD",0,0.0,28,non renseigné,2024,28,0.0
2025,VINS COTEAUX CHAMPENOIS,"Coteaux Champenois Blanc (SSA) (Bio) ""Méthode Nature"" 750 mL CRD",3,134.85,28,non renseigné,2025,28,134.85
2024,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,96,2016.0,29,Norvège,2024,29,2016.0
2025,CHAMPAGNE,Blanc Assemblage (SSA) (Viti Raisonnée) Brut Nature 1500 mL CRD,0,0.0,29,Norvège,2025,29,0.0
